,Date,Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Spectacles,Age_Range,Washer_No,Dryer_No,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
1852,15/02/2016,21:38:49,malay,male,fat,yes,toddler,big,red,traditional,brown,long sleeve,brown,long,blankets,no,50,4,7,23,2,18,3.187855695,101.7236375,1
3376,15/02/2016,13:21:57,malay,female,thin,no,no_kids,big,yellow,formal,green,short_sleeve,black,long,blankets,yes,20,4,8,25,3,14,3.17546102,101.7756427,2
3340,15/02/2016,16:45:56,malay,female,thin,yes,baby,small,grey,formal,yellow,short_sleeve,blue,long,blankets,yes,30,5,10,40,5,17,3.134159949,101.6442927,1
3666,15/02/2016,4:37:57,foreigner,female,thin,yes,young,big,green,traditional,orange,long sleeve,blue,long,blankets,no,24,6,9,41,4,16,3.081046981,101.5657885,1
3775,15/02/2016,13:49:10,malay,male,thin,yes,toddler,big,black,casual,black,long sleeve,purple,short,clothes,no,40,5,9,43,2,16,2.931441416,101.6920606,3
3144,15/02/2016,8:55:14,foreigner,male,thin,yes,toddler,big,grey,formal,red,long sleeve,blue,short,blankets,no,37,4,8,31,2,15,2.964088946,101.6695896,2
3000,15/02/2016,20:32:01,indian,female,thin,yes,baby,big,blue,casual,black,short_sleeve,brown,short,blankets,yes,50,5,8,14,1,13,3.095471813,101.720639,1
893,15/02/2016,2:07:18,chinese,male,fat,yes,young,small,purple,traditional,black,short_sleeve,yellow,long,clothes,no,48,4,8,14,4,18,3.073533387,101.6777969,1
3973,15/02/2016,17:01:14,malay,female,moderate,no,no_kids,big,yellow,traditional,purple,long sleeve,yellow,long,clothes,yes,28,3,9,58,4,10,3.137805625,101.6450617,1
2516,15/02/2016,16:39:28,malay,female,thin,no,no_kids,small,white,traditional,orange,long sleeve,purple,short,blankets,no,43,3,10,17,4,14,3.09365979,101.4648819,3
1352,15/02/2016,3:11:06,chinese,male,moderate,yes,baby,big,grey,casual,black,long sleeve,pink,long,blankets,no,54,3,10,53,3,21,3.119492681,101.6053411,2
2229,15/02/2016,19:38:57,malay,male,moderate,yes,baby,big,white,traditional,green,long sleeve,brown,long,clothes,yes,54,5,8,55,3,12,3.020367506,101.3995468,1
358,15/11/2015,13:38:37,malay,female,fat,no,no_kids,big,yellow,casual,purple,long sleeve,green,long,clothes,no,31,4,8,54,0,18,2.968319216,101.7471253,3
349,15/11/2015,11:32:19,malay,female,fat,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,no,44,6,10,29,0,7,2.951422754,101.731309,1
348,15/11/2015,11:28:47,indian,female,thin,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,no,48,4,8,11,5,14,2.963808387,101.6600931,2
345,15/11/2015,10:58:57,malay,female,thin,yes,toddler,big,white,casual,black,long sleeve,black,long,clothes,no,41,3,7,60,5,18,2.970555551,101.6721027,1
350,15/11/2015,11:59:28,malay,female,moderate,no,no_kids,big,blue,casual,pink,short_sleeve,white,short,clothes,yes,54,3,9,23,1,7,2.916176537,101.744742,3
344,15/11/2015,10:53:52,malay,male,fat,no,no_kids,big,green,casual,grey,short_sleeve,brown,short,clothes,no,42,6,9,16,2,15,2.939141274,101.6448118,2
343,15/11/2015,10:49:03,chinese,male,moderate,no,no_kids,big,red,casual,grey,short_sleeve,black,short,clothes,no,35,3,7,11,1,13,2.914040327,101.6617645,1
342,15/11/2015,10:26:01,indian,female,thin,no,no_kids,big,black,formal,red,long sleeve,black,long,blankets,no,41,3,8,18,3,16,2.928966658,101.703524,2
341,15/11/2015,9:58:59,malay,female,moderate,no,no_kids,big,black,casual,black,short_sleeve,black,long,clothes,no,45,4,8,45,0,18,2.940978723,101.6433598,3
347,15/11/2015,11:25:15,indian,female,moderate,yes,young,big,red,casual,white,short_sleeve,purple,short,clothes,no,54,5,8,48,5,20,2.909665212,101.7179025,3
351,15/11/2015,12:00:15,malay,female,fat,yes,toddler,big,red,casual,white,long sleeve,black,long,clothes,no,47,5,10,42,3,7,2.910426184,101.6647436,1
353,15/11/2015,12:19:53,malay,male,moderate,no,no_kids,big,orange,casual,white,short_sleeve,grey,short,blankets,no,41,6,9,29,4,7,2.934852095,101.6800077,3
340,15/11/2015,9:58:59,chinese,male,thin,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,no,47,3,10,49,3,11,2.926158683,101.6418201,1
354,15/11/2015,12:19:53,chinese,male,thin,no,no_kids,big,yellow,casual,black,short_sleeve,blue,long,clothes,no,31,4,8,51,1,18,2.928152378,101.7331086,2
355,15/11/2015,12:52:04,chinese,male,thin,yes,toddler,big,yellow,casual,black,short_sleeve,black,long,clothes,no,29,5,9,12,1,20,2.926046437,101.7119397,2
356,15/11/2015,13:11:03,malay,male,moderate,yes,young,big,white,casual,brown,short_sleeve,blue,long,blankets,no,47,3,9,43,3,12,2.951708147,101.6310818,2
357,15/11/2015,13:37:39,indian,male,thin,no,no_kids,big,blue,casual,black,short_sleeve,grey,long,clothes,no,29,4,8,60,5,15,2.954490883,101.7302788,3
359,15/11/2015,13:56:02,indian,male,thin,yes,young,big,orange,formal,red,short_sleeve,grey,long,clothes,no,37,3,7,15,0,7,2.916985714,101.6429315,2
360,15/11/2015,13:56:27,indian,female,moderate,no,no_kids,big,white,casual,purple,short_sleeve,blue,long,blankets,yes,55,6,9,20,3,10,2.922022975,101.6642776,2
361,15/11/2015,14:20:40,malay,female,thin,yes,baby,big,white,casual,red,short_sleeve,black,long,blankets,no,40,3,8,49,3,13,2.904386788,101.7064919,2
362,15/11/2015,14:37:49,malay,male,thin,yes,young,big,blue,casual,white,short_sleeve,blue,long,clothes,no,40,5,7,22,2,21,2.914685672,101.682779,1
363,15/11/2015,14:49:07,indian,female,thin,no,no_kids,big,blue,casual,blue,short_sleeve,blue,short,blankets,no,35,5,7,21,1,14,2.957069393,101.6707545,1
364,15/11/2015,14:49:07,indian,female,thin,no,no_kids,big,white,casual,red,short_sleeve,black,short,clothes,no,42,3,7,31,5,19,2.933072334,101.7428656,3
365,15/11/2015,14:54:24,indian,female,thin,no,no_kids,big,blue,casual,black,long sleeve,blue,long,clothes,no,54,4,8,46,3,18,2.926061332,101.7117079,2
366,15/11/2015,14:57:02,chinese,female,moderate,no,no_kids,big,white,casual,white,short_sleeve,grey,long,blankets,no,42,4,7,32,1,16,2.918683142,101.7328589,2
352,15/11/2015,12:19:53,chinese,male,moderate,no,no_kids,big,white,casual,black,short_sleeve,blue,long,clothes,no,50,6,10,37,4,20,2.92262312,101.6290685,3
339,15/11/2015,9:38:17,malay,female,moderate,yes,toddler,big,brown,casual,black,short_sleeve,blue,long,clothes,no,29,5,7,27,0,17,2.923960232,101.6466016,1
346,15/11/2015,10:58:57,indian,female,thin,no,no_kids,big,green,casual,grey,short_sleeve,grey,long,blankets,yes,36,5,7,14,3,19,2.948545067,101.7300481,1
337,15/11/2015,9:22:56,indian,female,thin,no,no_kids,big,white,casual,black,short_sleeve,blue,short,clothes,no,55,3,7,24,5,16,2.917883712,101.719975,2
327,15/11/2015,6:29:49,chinese,male,thin,no,no_kids,big,blue,casual,black,short_sleeve,brown,long,clothes,no,27,5,10,32,4,18,3.06927386,101.6744841,1
328,15/11/2015,7:09:32,indian,male,moderate,no,no_kids,big,red,casual,green,short_sleeve,grey,long,clothes,no,29,4,10,29,1,17,3.08556222,101.68147,3
329,15/11/2015,7:27:03,foreigner,female,moderate,no,no_kids,small,blue,traditional,red,long sleeve,red,long,clothes,no,39,5,7,18,4,17,3.145743721,101.6504231,1
330,15/11/2015,7:29:00,foreigner,female,thin,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,no,41,3,9,30,4,19,3.121790257,101.6446494,2
332,15/11/2015,8:08:58,malay,male,fat,yes,young,big,white,casual,red,short_sleeve,grey,long,blankets,yes,41,5,9,30,5,12,3.098777753,101.6793733,1
331,15/11/2015,8:00:24,malay,male,fat,yes,young,big,white,traditional,white,long sleeve,white,long,clothes,no,51,4,7,30,5,18,3.084381581,101.6985505,1
334,15/11/2015,8:23:09,malay,female,moderate,no,no_kids,big,pink,casual,black,short_sleeve,brown,long,clothes,no,37,5,9,41,0,17,3.129691543,101.6190992,1
335,15/11/2015,8:39:05,foreigner,male,moderate,no,no_kids,big,white,casual,blue,short_sleeve,grey,long,clothes,no,47,6,7,56,3,10,3.110098072,101.6519256,3
336,15/11/2015,9:04:26,malay,female,moderate,yes,baby,big,pink,casual,black,short_sleeve,blue,long,clothes,no,34,4,7,54,3,15,2.930154141,101.6609396,3
333,15/11/2015,8:23:09,indian,male,thin,no,no_kids,big,white,casual,white,short_sleeve,blue,short,clothes,no,28,6,7,34,5,19,3.133489925,101.6561453,3
338,15/11/2015,9:23:33,malay,female,moderate,no,no_kids,big,white,casual,white,short_sleeve,black,short,clothes,no,34,4,7,15,1,15,2.966209275,101.7455878,1
2736,15/12/2015,4:33:06,foreigner,female,thin,yes,toddler,small,grey,casual,black,long sleeve,orange,long,clothes,yes,44,5,8,42,4,18,2.908053738,101.6878902,2
882,15/12/2015,13:35:59,indian,female,thin,yes,young,big,white,traditional,purple,long sleeve,red,long,blankets,no,30,6,10,55,3,15,3.071473352,101.694048,1
845,15/12/2015,11:30:00,chinese,male,moderate,no,no_kids,small,brown,casual,brown,short_sleeve,yellow,short,blankets,yes,38,6,8,49,4,11,3.062528288,101.5064023,3
2238,15/12/2015,22:57:40,malay,female,moderate,yes,toddler,small,white,casual,yellow,long sleeve,blue,short,blankets,yes,42,4,10,37,5,13,3.087161874,101.7533967,3
2201,15/12/2015,12:16:23,indian,male,moderate,yes,toddler,small,red,traditional,grey,long sleeve,pink,short,clothes,no,53,3,7,25,0,10,3.182207948,101.6424965,2
2737,15/12/2015,19:31:10,foreigner,female,fat,no,no_kids,small,brown,traditional,red,long sleeve,green,short,clothes,yes,52,3,10,43,3,15,2.96270826,101.7253465,3
2348,15/12/2015,6:34:09,foreigner,male,fat,yes,young,big,blue,formal,brown,short_sleeve,pink,long,clothes,yes,42,5,9,55,4,16,3.088950059,101.7334971,3
2974,15/12/2015,2:37:44,chinese,female,fat,no,no_kids,small,white,casual,black,short_sleeve,black,short,clothes,no,38,4,10,17,2,7,3.156291447,101.735869,3
2526,15/12/2015,8:44:05,chinese,female,thin,no,no_kids,big,yellow,traditional,red,short_sleeve,blue,long,blankets,no,60,4,7,59,0,8,3.112676555,101.7043502,1
2510,15/12/2015,16:15:29,foreigner,female,thin,yes,toddler,small,yellow,traditional,pink,short_sleeve,blue,short,clothes,yes,31,5,8,25,2,13,3.062494178,101.5812639,1
2257,15/12/2015,17:01:34,indian,female,thin,yes,young,big,orange,traditional,black,long sleeve,black,short,clothes,yes,36,3,10,16,2,7,3.172600266,101.5822368,2
3322,15/12/2015,5:35:12,foreigner,female,thin,yes,toddler,small,orange,formal,pink,short_sleeve,grey,short,blankets,no,35,4,7,19,4,20,2.932540757,101.7348729,1
2625,15/12/2015,12:56:52,chinese,male,thin,no,no_kids,small,yellow,traditional,black,short_sleeve,pink,long,blankets,yes,21,4,7,11,0,21,3.10764022,101.669142,1
3437,15/12/2015,7:35:28,indian,male,fat,no,no_kids,small,black,traditional,purple,short_sleeve,yellow,long,clothes,no,47,5,8,56,4,9,3.17540584,101.7491134,2
2290,15/12/2015,12:43:59,indian,female,moderate,no,no_kids,small,green,casual,black,long sleeve,purple,short,blankets,yes,34,5,9,23,1,18,2.920341513,101.7127793,3
3441,15/12/2015,9:45:53,foreigner,male,moderate,yes,toddler,big,grey,casual,white,long sleeve,black,short,blankets,no,31,6,7,12,1,9,3.189940904,101.7086388,1
2041,15/12/2015,12:40:31,indian,female,moderate,yes,toddler,small,grey,formal,blue,long sleeve,red,short,blankets,no,55,6,8,57,4,18,3.092464748,101.6522777,3
3162,15/12/2015,17:07:27,malay,male,fat,yes,young,small,grey,casual,orange,short_sleeve,green,short,clothes,no,51,6,8,46,1,13,3.197479572,101.7160567,3
936,15/12/2015,13:57:57,foreigner,male,fat,no,no_kids,big,white,formal,red,long sleeve,green,long,blankets,yes,20,6,9,55,3,8,3.123477318,101.7108841,1
2979,15/12/2015,10:01:08,chinese,male,fat,no,no_kids,big,blue,formal,purple,short_sleeve,black,long,clothes,no,42,3,9,14,0,10,3.098469747,101.6876302,1
972,15/12/2015,14:32:57,chinese,female,fat,yes,young,small,red,casual,grey,short_sleeve,yellow,short,blankets,yes,31,5,7,27,2,19,3.106577827,101.7716825,2
1148,15/12/2015,12:32:12,indian,female,moderate,yes,toddler,big,white,casual,black,long sleeve,purple,long,clothes,no,19,6,9,36,2,14,3.112830717,101.5959953,1
3246,16/01/2016,1:47:50,indian,male,moderate,yes,baby,big,purple,formal,orange,long sleeve,orange,short,clothes,yes,60,6,10,17,0,7,3.120630047,101.755119,3
2528,16/01/2016,14:24:51,foreigner,female,fat,no,no_kids,big,red,formal,purple,short_sleeve,green,short,clothes,no,20,3,8,45,5,16,3.009421237,101.518755,3
1046,16/01/2016,0:07:15,foreigner,male,moderate,yes,baby,small,green,formal,white,long sleeve,blue,short,clothes,yes,23,3,8,57,4,7,3.094070968,101.7011345,2
878,16/01/2016,21:11:16,indian,female,fat,yes,baby,big,white,casual,orange,long sleeve,blue,short,clothes,yes,27,3,8,17,3,12,3.075524525,101.6610729,2
1034,16/01/2016,8:13:20,malay,female,moderate,no,no_kids,small,purple,traditional,brown,long sleeve,blue,short,clothes,yes,41,4,7,20,3,19,3.086310539,101.7653863,3
2188,16/01/2016,5:59:15,chinese,female,thin,yes,baby,big,green,traditional,black,long sleeve,orange,short,clothes,no,46,6,9,22,0,12,3.11110997,101.7179009,1
1111,16/01/2016,4:46:14,malay,female,moderate,yes,young,small,orange,formal,orange,long sleeve,pink,long,blankets,no,41,6,8,60,0,18,2.996567893,101.5290997,3
3321,16/01/2016,22:29:13,malay,female,moderate,yes,young,big,white,casual,pink,short_sleeve,white,short,blankets,yes,51,5,8,29,0,12,2.929363904,101.7149757,1
3338,16/01/2016,4:32:26,foreigner,male,moderate,yes,toddler,big,yellow,traditional,white,long sleeve,green,short,blankets,yes,28,4,8,33,4,10,3.025940829,101.4370892,1
2346,16/01/2016,22:01:15,chinese,male,fat,no,no_kids,big,brown,casual,pink,short_sleeve,purple,long,clothes,yes,29,4,7,56,0,9,3.094245613,101.6856357,1
1383,16/01/2016,23:45:54,malay,male,moderate,yes,baby,small,purple,casual,pink,short_sleeve,green,long,blankets,no,27,6,10,13,5,16,3.071336234,101.6256139,2
3939,16/01/2016,4:30:00,indian,male,fat,no,no_kids,small,red,formal,white,long sleeve,pink,short,blankets,yes,38,5,8,48,2,21,3.138265719,101.6348216,3
3387,16/01/2016,16:58:47,chinese,female,moderate,yes,toddler,small,red,casual,black,short_sleeve,green,long,blankets,yes,44,5,8,53,1,10,2.990807372,101.5568502,1
2688,16/01/2016,2:10:52,foreigner,male,fat,no,no_kids,small,red,formal,brown,short_sleeve,red,short,blankets,no,26,5,7,43,5,21,3.100978532,101.6265154,2
3407,16/01/2016,0:38:55,foreigner,male,fat,yes,toddler,big,pink,traditional,purple,short_sleeve,pink,short,clothes,yes,34,6,9,17,5,8,3.168335742,101.5832467,2
3323,16/01/2016,1:50:57,chinese,male,thin,yes,toddler,small,black,casual,orange,long sleeve,blue,long,clothes,yes,49,4,10,13,4,20,2.949389954,101.6435494,3
3494,16/01/2016,21:15:07,chinese,male,thin,yes,toddler,big,green,traditional,black,short_sleeve,black,long,clothes,no,29,3,7,32,4,11,2.956889006,101.6665313,1
2374,16/01/2016,7:55:23,malay,female,moderate,yes,toddler,big,brown,casual,yellow,short_sleeve,brown,short,blankets,yes,30,4,9,51,4,21,3.054154463,101.5822665,3
3982,16/01/2016,7:06:32,chinese,female,thin,yes,young,small,purple,casual,purple,short_sleeve,green,long,clothes,no,52,3,9,28,2,12,3.188509481,101.7577689,2
1313,16/01/2016,21:40:30,foreigner,male,fat,yes,toddler,big,red,casual,brown,long sleeve,blue,long,clothes,yes,52,6,9,57,0,10,3.090434715,101.7074842,3
3617,16/01/2016,1:57:56,chinese,female,moderate,yes,toddler,big,grey,formal,purple,short_sleeve,blue,short,clothes,yes,56,6,8,54,5,12,3.082570081,101.6610855,2
3737,16/01/2016,22:28:08,foreigner,female,thin,yes,baby,small,brown,casual,orange,long sleeve,blue,short,clothes,yes,55,3,10,16,4,17,2.930714818,101.7005453,2
3735,16/01/2016,16:28:44,malay,female,fat,yes,toddler,big,pink,formal,white,long sleeve,orange,long,blankets,yes,42,3,8,18,3,19,2.932734692,101.639821,3
953,16/01/2016,4:22:36,malay,female,moderate,yes,baby,big,white,formal,black,short_sleeve,blue,short,blankets,yes,45,3,8,43,4,8,3.153105561,101.6240141,2
1471,16/01/2016,20:27:35,malay,female,moderate,yes,toddler,big,pink,casual,grey,long sleeve,pink,long,blankets,no,42,5,8,58,4,13,3.031702864,101.5432725,3
825,16/01/2016,17:20:53,malay,female,fat,no,no_kids,small,white,traditional,black,long sleeve,blue,long,clothes,no,46,5,9,33,2,13,3.0804209,101.6092402,2
1476,16/01/2016,12:44:09,foreigner,male,thin,yes,toddler,small,pink,traditional,grey,short_sleeve,red,long,blankets,no,52,4,8,20,0,17,3.088763891,101.6613488,1
2480,16/01/2016,17:29:40,chinese,female,thin,no,no_kids,big,orange,traditional,yellow,short_sleeve,brown,short,clothes,yes,41,3,9,45,1,19,2.939977736,101.7336849,1
1481,16/01/2016,7:10:10,chinese,male,moderate,yes,young,small,orange,casual,black,short_sleeve,purple,long,blankets,yes,39,5,8,49,5,13,3.138548318,101.7798605,1
3607,16/01/2016,0:58:07,indian,male,moderate,no,no_kids,big,grey,traditional,white,long sleeve,yellow,long,blankets,yes,53,6,8,56,4,15,3.084444814,101.4346306,2
2960,16/01/2016,5:05:13,malay,male,moderate,no,no_kids,small,red,traditional,grey,long sleeve,white,short,blankets,no,54,3,8,12,4,12,3.095617565,101.4987885,3
2298,16/01/2016,22:02:53,foreigner,female,thin,yes,toddler,small,brown,casual,purple,short_sleeve,black,short,clothes,yes,38,3,8,40,5,14,2.914720246,101.7026826,1
1356,16/01/2016,13:51:41,malay,male,moderate,yes,toddler,small,purple,formal,pink,short_sleeve,brown,long,blankets,no,30,5,10,15,5,13,3.111809597,101.5809567,1
2568,16/01/2016,18:18:03,foreigner,male,moderate,yes,young,big,brown,traditional,orange,short_sleeve,black,long,clothes,no,55,3,9,38,4,19,3.071592211,101.5659459,3
931,16/01/2016,2:08:13,indian,female,moderate,no,no_kids,small,purple,formal,pink,long sleeve,blue,short,clothes,no,54,5,10,12,3,19,3.046778307,101.4343181,2
3890,16/01/2016,17:15:18,malay,male,thin,yes,baby,small,orange,casual,orange,long sleeve,yellow,short,blankets,no,23,5,10,14,2,13,3.153188151,101.786263,2
3900,16/01/2016,10:00:26,malay,female,moderate,yes,young,small,yellow,formal,black,short_sleeve,purple,short,blankets,no,32,5,7,52,2,18,3.009276696,101.5158994,1
3924,16/01/2016,3:22:15,indian,male,moderate,yes,baby,small,green,casual,black,short_sleeve,grey,short,blankets,yes,46,3,9,42,5,20,3.009253458,101.4290768,3
3934,16/01/2016,7:41:58,malay,male,fat,yes,toddler,big,brown,traditional,orange,short_sleeve,pink,short,blankets,no,32,4,7,51,2,21,3.145623439,101.707585,2
1791,16/01/2016,13:29:27,foreigner,female,moderate,yes,toddler,big,red,traditional,pink,long sleeve,yellow,long,clothes,yes,33,5,7,17,0,7,3.119333993,101.705226,1
2146,16/01/2016,8:57:01,indian,female,thin,yes,baby,big,brown,formal,yellow,short_sleeve,pink,long,blankets,no,57,4,7,14,4,10,3.074651763,101.4648761,1
2011,16/02/2016,5:24:30,malay,male,fat,yes,toddler,big,white,casual,white,short_sleeve,purple,short,blankets,yes,25,6,9,12,2,10,3.128212662,101.6235168,2
2086,16/02/2016,19:24:25,chinese,female,thin,yes,toddler,big,yellow,casual,blue,long sleeve,purple,short,blankets,yes,49,4,8,11,3,7,3.038010431,101.401304,3
3822,16/02/2016,9:28:34,chinese,female,thin,yes,young,small,black,traditional,yellow,short_sleeve,orange,long,clothes,yes,20,4,10,22,4,9,3.093942076,101.6889614,2
1414,16/02/2016,3:38:38,indian,male,thin,yes,toddler,big,white,casual,black,short_sleeve,white,long,blankets,yes,20,3,10,52,5,16,3.063869302,101.4629564,1
3655,16/02/2016,20:45:31,malay,female,thin,yes,toddler,big,blue,traditional,black,long sleeve,white,long,blankets,yes,32,3,9,21,4,20,3.150480854,101.7836456,2
1867,16/02/2016,12:07:35,foreigner,female,thin,yes,toddler,big,grey,traditional,white,short_sleeve,grey,long,clothes,yes,39,5,10,30,5,16,3.101699495,101.6790057,3
2073,16/02/2016,11:32:27,chinese,male,thin,yes,toddler,small,purple,traditional,yellow,long sleeve,white,long,clothes,no,25,5,10,53,4,14,3.124181476,101.7036852,2
2661,16/02/2016,4:50:12,malay,female,fat,yes,young,small,yellow,formal,red,long sleeve,black,long,blankets,no,34,6,9,27,2,19,2.98547119,101.5451705,3
2134,16/02/2016,16:21:36,chinese,male,moderate,yes,toddler,big,green,traditional,brown,short_sleeve,orange,long,blankets,yes,35,4,7,22,2,16,3.058766057,101.6145016,2
2324,16/02/2016,14:00:20,foreigner,female,fat,yes,baby,big,orange,traditional,blue,long sleeve,blue,long,blankets,yes,43,4,10,60,3,19,2.904241872,101.6693722,2
1343,16/02/2016,9:48:22,foreigner,female,thin,no,no_kids,big,white,formal,black,long sleeve,blue,long,clothes,yes,21,6,8,19,4,12,3.050102565,101.6272951,1
2855,16/02/2016,4:40:49,foreigner,male,thin,yes,baby,big,orange,formal,blue,short_sleeve,orange,long,blankets,yes,52,5,9,58,1,12,2.912918927,101.7331987,3
2158,16/02/2016,15:28:22,indian,male,thin,yes,toddler,big,pink,casual,brown,short_sleeve,white,long,blankets,yes,56,5,7,13,2,12,3.145022656,101.6302028,3
1918,16/02/2016,21:47:16,chinese,female,thin,yes,young,small,grey,casual,grey,long sleeve,blue,short,clothes,yes,31,5,7,53,4,13,3.122936276,101.6584375,3
3849,16/02/2016,0:46:40,foreigner,male,fat,yes,toddler,big,purple,casual,black,short_sleeve,blue,long,clothes,yes,36,4,10,54,2,10,3.081467861,101.5621013,1
3700,16/02/2016,23:35:12,foreigner,female,thin,yes,toddler,small,purple,casual,grey,long sleeve,black,short,blankets,yes,40,5,7,51,2,21,2.922637325,101.667031,2
2376,16/02/2016,9:14:38,indian,female,thin,yes,young,small,brown,traditional,black,long sleeve,purple,short,blankets,no,18,3,9,23,0,7,3.073909978,101.6123345,3
2177,16/02/2016,8:24:10,foreigner,male,fat,yes,toddler,small,blue,formal,green,long sleeve,blue,short,blankets,yes,26,5,9,23,1,10,3.159801065,101.5857111,1
1807,16/02/2016,22:41:23,foreigner,male,thin,yes,young,small,black,traditional,yellow,short_sleeve,white,long,clothes,yes,38,6,8,36,3,17,3.102449639,101.7840236,1
3336,16/02/2016,13:12:36,foreigner,male,fat,no,no_kids,big,orange,casual,green,short_sleeve,purple,short,blankets,no,32,6,10,54,3,19,3.024491369,101.5477221,2
3306,16/02/2016,19:16:59,indian,male,thin,yes,toddler,small,red,formal,blue,short_sleeve,grey,short,blankets,no,33,6,8,28,5,15,2.915570021,101.6774707,1
3005,16/02/2016,9:36:28,chinese,female,fat,yes,young,small,pink,casual,orange,long sleeve,yellow,long,blankets,no,27,3,8,11,4,21,3.101420723,101.6790146,1
830,16/02/2016,8:42:21,malay,male,fat,yes,toddler,big,black,casual,blue,short_sleeve,blue,short,clothes,no,53,5,7,21,4,7,3.140750844,101.6471234,1
917,16/02/2016,22:25:23,malay,female,thin,yes,baby,big,black,casual,black,short_sleeve,brown,long,clothes,no,42,5,10,31,4,12,3.068924103,101.5734391,3
3025,16/02/2016,5:00:39,chinese,female,thin,no,no_kids,small,green,casual,brown,short_sleeve,blue,long,blankets,yes,53,6,10,45,5,21,2.931718879,101.6390013,2
1760,16/02/2016,10:27:22,malay,female,fat,yes,young,big,orange,formal,white,long sleeve,black,long,clothes,yes,22,5,7,24,3,21,3.120531364,101.725071,3
957,16/02/2016,18:19:48,malay,female,moderate,yes,toddler,big,white,casual,black,short_sleeve,yellow,long,clothes,no,40,5,9,26,2,18,3.122823995,101.7523786,2
977,16/02/2016,18:50:48,indian,female,thin,yes,toddler,small,white,casual,orange,short_sleeve,blue,short,clothes,no,24,5,7,16,5,13,3.118797614,101.7579689,3
2850,16/12/2015,1:04:49,foreigner,male,thin,yes,young,big,blue,casual,black,short_sleeve,green,short,clothes,yes,31,4,10,56,1,17,2.914610198,101.6718867,1
2149,16/12/2015,4:33:28,indian,male,moderate,yes,baby,big,brown,traditional,green,long sleeve,blue,long,blankets,yes,35,5,10,40,2,17,3.123932489,101.5972828,1
1369,16/12/2015,10:53:43,malay,male,fat,no,no_kids,big,blue,traditional,green,short_sleeve,brown,short,clothes,yes,31,6,7,18,4,9,3.09647017,101.6730807,1
1895,16/12/2015,19:22:36,foreigner,male,fat,yes,young,big,blue,traditional,black,long sleeve,red,long,blankets,yes,28,6,9,26,4,11,3.096016263,101.6523594,1
1896,16/12/2015,14:50:07,malay,male,fat,yes,toddler,small,brown,formal,black,short_sleeve,green,short,clothes,yes,51,6,7,26,0,8,3.110829101,101.6905154,3
2208,16/12/2015,23:24:44,foreigner,male,moderate,no,no_kids,small,yellow,traditional,yellow,long sleeve,blue,short,clothes,no,48,5,7,32,0,21,3.172636478,101.5856314,1
2131,16/12/2015,16:39:09,malay,female,fat,yes,young,small,red,traditional,red,long sleeve,blue,short,blankets,no,44,5,10,32,3,18,3.060094714,101.4586502,3
3459,16/12/2015,11:43:02,foreigner,female,moderate,yes,toddler,small,yellow,casual,pink,long sleeve,blue,short,clothes,no,55,4,10,46,1,13,2.954026725,101.7053091,1
2355,16/12/2015,20:50:33,chinese,female,fat,yes,toddler,small,orange,casual,blue,long sleeve,orange,long,blankets,no,19,3,10,46,4,19,3.074223328,101.6557819,3
3351,16/12/2015,14:04:31,indian,male,thin,yes,baby,big,grey,formal,orange,long sleeve,blue,short,blankets,no,22,3,9,26,2,13,2.997250598,101.379473,3
3436,16/12/2015,22:37:29,malay,female,fat,yes,young,small,orange,casual,blue,long sleeve,red,long,clothes,yes,52,3,9,35,4,7,2.992841165,101.5394618,3
2715,16/12/2015,21:52:55,malay,female,moderate,yes,baby,big,red,traditional,grey,long sleeve,red,short,clothes,no,39,3,10,60,0,8,2.969741447,101.7326093,1
2095,16/12/2015,7:20:01,foreigner,female,moderate,yes,baby,big,brown,casual,red,long sleeve,purple,short,clothes,no,26,5,8,33,5,16,3.080959723,101.6905879,2
3583,16/12/2015,17:09:59,chinese,female,thin,yes,toddler,big,yellow,formal,green,short_sleeve,white,short,blankets,no,20,5,7,58,5,21,2.98505865,101.4223242,2
1971,16/12/2015,11:48:25,chinese,female,fat,yes,toddler,big,green,casual,green,long sleeve,purple,long,clothes,no,24,6,9,31,1,13,3.068079262,101.3998023,3
1796,16/12/2015,17:59:26,foreigner,female,thin,no,no_kids,small,blue,traditional,black,short_sleeve,blue,long,clothes,no,42,3,10,46,4,8,3.079615041,101.6929191,1
1600,16/12/2015,3:28:15,indian,male,moderate,no,no_kids,small,grey,traditional,pink,short_sleeve,brown,short,clothes,no,28,4,9,24,1,14,3.112870226,101.7030075,2
3720,16/12/2015,20:54:47,foreigner,female,fat,yes,toddler,big,black,formal,green,short_sleeve,black,long,blankets,yes,39,5,10,12,5,20,2.942797402,101.703617,2
2303,16/12/2015,17:37:20,chinese,male,thin,no,no_kids,small,purple,casual,yellow,short_sleeve,yellow,short,blankets,yes,29,3,10,31,0,18,2.921287496,101.6791926,1
